stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
30132,,"Adams/Wabash","",41.879507,-87.626037,0,40680,0
30133,,"Dempster","",42.041655,-87.681602,0,40690,0
30134,,"Dempster","",42.041655,-87.681602,0,40690,0
30135,,"Laramie","",41.887163,-87.754986,0,40700,1
30136,,"Laramie","",41.887163,-87.754986,0,40700,1
30137,,"Chicago-Brown","",41.89681,-87.635924,0,40710,1
30138,,"Chicago-Brown","",41.89681,-87.635924,0,40710,1
30139,,"East 63rd-Cottage Grove","",41.780309,-87.605857,0,40720,1
30140,,"East 63rd-Cottage Grove","",41.780309,-87.605857,0,40720,1
30141,,"Washington/Wells","",41.882695,-87.63378,0,40730,1
30142,,"Washington/Wells","",41.882695,-87.63378,0,40730,1
30143,,"Western-Cermak","",41.854225,-87.685129,0,40740,1
30144,,"Western-Cermak","",41.854225,-87.685129,0,40740,1
30145,,"Harlem-O'Hare","",41.98227,-87.8089,0,40750,1
30146,,"Harlem-O'Hare","",41.98227,-87.8089,0,40750,1
30147,,"Granville","",41.993664,-87.659202,0,40760,1
30148,,"Granville","",41.993664,-87.659202,0,40760,1
30149,,"Lawrence","",41.969139,-87.658493,0,40770,0
30150,,"Lawrence","",41.969139,-87.658493,0,40770,0
30151,,"Central Park","",41.853839,-87.714842,0,40780,1
30152,,"Central Park","",41.853839,-87.714842,0,40780,1
30153,,"Monroe-Blue","",41.880703,-87.629378,0,40790,0
30154,,"Monroe-Blue","",41.880703,-87.629378,0,40790,0
30155,,"Sedgwick","",41.910409,-87.639302,0,40800,1
30156,,"Sedgwick","",41.910409,-87.639302,0,40800,1
30157,,"Illinois Medical District","",41.875706,-87.673932,0,40810,1
30158,,"Illinois Medical District","",41.875706,-87.673932,0,40810,1
30159,,"Rosemont","",41.983507,-87.859388,0,40820,1
30160,,"Rosemont","",41.983507,-87.859388,0,40820,1
30161,,"18th","",41.857908,-87.669147,0,40830,1
30162,,"18th","",41.857908,-87.669147,0,40830,1
30163,,"South Boulevard","",42.027612,-87.678329,0,40840,0
30164,,"South Boulevard","",42.027612,-87.678329,0,40840,0
30165,,"Harold Washington Library","",41.876862,-87.628196,0,40850,1
30166,,"Harold Washington Library","",41.876862,-87.628196,0,40850,1
30167,,"Francisco","",41.966046,-87.701644,0,40870,1
30168,,"Francisco","",41.966046,-87.701644,0,40870,1
30169,,"Thorndale","",41.990259,-87.659076,0,40880,0
30170,,"Thorndale","",41.990259,-87.659076,0,40880,0
30171,,"O'Hare","",41.97766526,-87.90422307,0,40890,1
30172,,"O'Hare","",41.97766526,-87.90422307,0,40890,1
30173,,"Howard","",42.019063,-87.672892,0,40900,1
30174,,"Howard","",42.019063,-87.672892,0,40900,1
30175,,"Howard","",42.019063,-87.672892,0,40900,1
30176,,"Howard","",42.019063,-87.672892,0,40900,1
30177,,"63rd","",41.780536,-87.630952,0,40910,0
30178,,"63rd","",41.780536,-87.630952,0,40910,0
30179,,"Pulaski-Forest Park","",41.873797,-87.725663,0,40920,0
30180,,"Pulaski-Forest Park","",41.873797,-87.725663,0,40920,0
30181,,"Midway","",41.78661,-87.737875,0,40930,1
30182,,"Midway","",41.78661,-87.737875,0,40930,1
30183,,"Halsted-Green","",41.778943,-87.644244,0,40940,1
30184,,"Halsted-Green","",41.778943,-87.644244,0,40940,1
30185,,"Pulaski-Orange","",41.799756,-87.724493,0,40960,1
30186,,"Pulaski-Orange","",41.799756,-87.724493,0,40960,1
30187,,"Cicero-Forest Park","",41.871574,-87.745154,0,40970,0
30188,,"Cicero-Forest Park","",41.871574,-87.745154,0,40970,0
30189,,"Harlem-Forest Park","",41.87349,-87.806961,0,40980,0
30190,,"Harlem-Forest Park","",41.87349,-87.806961,0,40980,0
30191,,"69th","",41.768367,-87.625724,0,40990,1
30192,,"69th","",41.768367,-87.625724,0,40990,1
30193,,"Cermak-Chinatown","",41.853206,-87.630968,0,41000,0
30194,,"Cermak-Chinatown","",41.853206,-87.630968,0,41000,0
30195,,"Rockwell","",41.966115,-87.6941,0,41010,1
30196,,"Rockwell","",41.966115,-87.6941,0,41010,1
30197,,"Logan Square","",41.929728,-87.708541,0,41020,1
30198,,"Logan Square","",41.929728,-87.708541,0,41020,1
30199,,"Polk","",41.871551,-87.66953,0,41030,1
30200,,"Polk","",41.871551,-87.66953,0,41030,1
30201,,"Kedzie-Cermak","",41.853964,-87.705408,0,41040,1
30202,,"Kedzie-Cermak","",41.853964,-87.705408,0,41040,1
30203,,"Linden","",42.073153,-87.69073,0,41050,1
30204,,"Linden","",42.073153,-87.69073,0,41050,1
30205,,"Ashland-Orange","",41.839234,-87.665317,0,41060,1
30206,,"Ashland-Orange","",41.839234,-87.665317,0,41060,1
30207,,"Kedzie-Green","",41.884321,-87.706155,0,41070,1
30208,,"Kedzie-Green","",41.884321,-87.706155,0,41070,1
30209,,"47th-Green","",41.809209,-87.618826,0,41080,1
30210,,"47th-Green","",41.809209,-87.618826,0,41080,1
30211,,"Monroe-Red","",41.880745,-87.627696,0,41090,0
